trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
6,3,5,8,45,5,5,4,8,4,8,1,[4.081375600071624],[4.0813925000838935],5,5,45,5,332.0628913,,332.046478,332.0628913,332.5624025,332.5625298,332.5786568,333.9782877,4,8,333.9792337,333.9939351,334.8080268,334.8080268,334.8413471,334.9084717,338.9906346,4,8,1,[4.081375600071624],[4.0813925000838935],,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,46,6,5,9,1,9,1,1,[3.948554900009185],[3.948571900022216],5,6,46,6,339.0052928,,338.9911419,339.0052928,339.489011,339.489125,339.5048542,340.9211871,9,1,340.9221327,340.9371408,341.75155,341.75155,341.75155,341.8512174,345.8005692,9,1,1,[3.948554900009185],[3.948571900022216],339.5048542,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
8,8,5,13,47,7,5,4,9,4,5,1,[4.56501860008575],[4.565030400059186],5,7,47,7,345.8159571,,345.8010629,345.8159571,346.2991838,346.2993069,346.314689,347.7311162,4,9,347.7320629,347.7474387,348.5613892,348.5613892,348.5948353,348.6778018,353.2434581,4,5,1,[4.56501860008575],[4.565030400059186],346.314689,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
1,2,4,6,48,0,6,1,8,1,8,1,[3.7154609001008794],[3.7154772001085803],6,0,48,0,353.2575054,,353.2438425,353.2575054,353.7414264,353.7415188,353.7574296,355.1736498,1,8,355.1744151,355.188852,356.0036544,356.0036544,356.0036544,356.1036958,359.8199776,1,8,1,[3.7154609001008794],[3.7154772001085803],353.7574296,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
2,3,4,7,49,1,6,4,6,4,6,1,[4.547615199931897],[4.547633199952543],6,1,49,1,359.8350518,,359.8204841,359.8350518,360.3189138,360.3190267,360.3349971,361.7501545,4,6,361.7509314,361.7662564,362.580445,362.580445,362.580445,362.6805788,367.2290083,4,6,1,[4.547615199931897],[4.547633199952543],360.3349971,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
3,5,4,9,50,2,6,6,5,6,5,1,[3.5967753999866545],[3.5967867999570444],6,2,50,2,367.2439684,,367.2295449,367.2439684,367.7277806,367.7278955,367.7437561,369.1600285,6,5,369.1609804,369.1762575,369.9904329,369.9904329,370.0230902,370.090551,373.6879366,6,5,1,[3.5967753999866545],[3.5967867999570444],367.7437561,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
4,8,4,12,51,3,6,5,6,2,6,1,[4.579852299997583],[4.5798675999976695],6,3,51,3,373.7047842,,373.6883243,373.7047842,374.1883063,374.1884013,374.2035257,375.6204214,5,6,375.6213628,375.636367,376.45014,376.45014,376.45014,376.5666696,381.1473178,2,6,1,[4.579852299997583],[4.5798675999976695],374.2035257,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
5,2,5,7,52,4,6,1,1,7,1,1,[3.8984253999078646],[3.898441799916327],6,4,52,4,381.1637608,,381.1478127,381.1637608,381.6472211,381.647312,381.6631751,383.0791375,1,1,383.0800689,383.0952831,383.8930139,383.8930139,383.9265389,384.0425381,387.9417822,7,1,1,[3.8984253999078646],[3.898441799916327],381.6631751,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
6,3,5,8,53,5,6,9,3,9,8,1,[4.182081599952653],[4.1820928999222815],6,5,53,5,387.9568405,,387.9423164,387.9568405,388.4403132,388.4404265,388.4560588,389.8723777,9,3,389.8733172,389.8883085,390.702647,390.702647,390.702647,390.8025669,394.9853983,9,8,1,[4.182081599952653],[4.1820928999222815],388.4560588,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
7,5,5,10,54,6,6,6,6,6,6,1,[4.063491399982013],[4.063503799960017],6,6,54,6,395.0000465,,394.98577,395.0000465,395.4837513,395.4838447,395.4996564,396.9148298,6,6,396.9156401,396.9313246,397.7295052,397.7295052,397.7629745,397.8627682,401.9269435,6,6,1,[4.063491399982013],[4.063503799960017],395.4996564,520501,1,2025-11-19_07h27.46.633,untitled,,2025.1.1,60.03139644,2025-11-19 07h27.51.099188 +0530
