trial,lag,T1_pos,T2_pos,thisN,thisTrialN,thisRepN,T1_target,T2_target,textbox1.text,textbox2.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,trial.stopped,rsvp.started,stream_text.started,rsvp.stopped,trials.T1_target,trials.T2_target,response.started,text.started,textbox1.started,textbox2.started,text.stopped,button.started,response.stopped,trials.textbox1.text,trials.textbox2.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,fixation.stopped,thank_you.started,text_2.started,key_resp.started,thank_you.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
8,8,5,13,39,7,4,1,4,1,6,1,[3.74795610003639],[3.7479723999276757],4,7,39,7,281.5219789,,,,,,,,,281.5074093,281.5219789,282.0063935,282.0065191,282.021576,283.4382061,1,4,283.4392,283.4542386,284.6672099,284.6672099,284.7006986,284.7671016,288.5158341,1,6,1,[3.74795610003639],[3.7479723999276757],282.021576,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,40,0,5,5,5,5,7,1,[4.063789500040002],[4.06380490004085],5,0,40,0,288.5321001,,,,,,,,,288.5163544,288.5321001,289.0156127,289.0157249,289.0315109,290.4478708,5,5,290.4488765,290.4634284,291.6769571,291.6769571,291.7106932,291.7767787,295.8413367,5,7,1,[4.063789500040002],[4.06380490004085],289.0315109,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
2,3,4,7,41,1,5,7,2,7,9,1,[3.8638318999437615],[3.863844299921766],5,1,41,1,295.8580182,,,,,,,,,295.8418606,295.8580182,296.3416987,296.3418123,296.3575884,297.7731432,7,2,297.7741244,297.7890997,298.9864154,298.9864154,299.019647,299.1196652,302.9841867,7,9,1,[3.8638318999437615],[3.863844299921766],296.3575884,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
3,5,4,9,42,2,5,5,6,5,6,1,[3.5970535000087693],[3.597069300012663],5,2,42,2,303.0015142,,,,,,,,,302.9846512,303.0015142,303.500752,303.5009474,303.5170902,304.9165707,5,6,304.9175199,304.9331672,306.1458671,306.1458671,306.1791138,306.262904,309.860735,5,6,1,[3.5970535000087693],[3.597069300012663],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
4,8,4,12,43,3,5,2,2,2,2,1,[3.813793799956329],[3.8138094999594614],5,3,43,3,309.8775758,,,,,,,,,309.8612728,309.8775758,310.3611256,310.3613236,310.3765741,311.7935345,2,2,311.7944868,311.8089594,313.0225666,313.0225666,313.0225666,313.1224528,316.9370351,2,2,1,[3.813793799956329],[3.8138094999594614],,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
5,2,5,7,44,4,5,1,8,1,8,1,[4.065000299946405],[4.065011899918318],5,4,44,4,316.9538919,,,,,,,,,316.9375476,316.9538919,317.4374266,317.437543,317.4533799,318.8693246,1,8,318.8702753,318.8853505,320.0987668,320.0987668,320.132615,320.1992526,324.2648898,1,8,1,[4.065000299946405],[4.065011899918318],317.4533799,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
6,3,5,8,45,5,5,3,2,3,6,1,[3.731266599963419],[3.7312771000433713],5,5,45,5,324.2799477,,,,,,,,,324.2652771,324.2799477,324.7635323,324.7636532,324.7792643,326.1948594,3,2,326.1958079,326.2110501,327.424738,327.424738,327.424738,327.5251308,331.2570142,3,6,1,[3.731266599963419],[3.7312771000433713],324.7792643,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
7,5,5,10,46,6,5,9,9,8,9,1,[4.114092399948277],[4.114103399915621],5,6,46,6,331.2725317,,,,,,,,,331.2573804,331.2725317,331.7565342,331.7566474,331.7720707,333.188581,9,9,333.1895418,333.2040691,334.4354231,334.4354231,334.4354231,334.5352547,338.649989,8,9,1,[4.114092399948277],[4.114103399915621],331.7720707,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
8,8,5,13,47,7,5,2,5,2,5,1,[3.9638202000642195],[3.9638362999539822],5,7,47,7,338.6653008,,,,,,,,,338.6503564,338.6653008,339.1491663,339.149281,339.1646409,340.5814083,2,5,340.5823828,340.5969947,341.8105446,341.8105446,341.843889,341.9104057,345.8750176,2,5,1,[3.9638202000642195],[3.9638362999539822],339.1646409,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
1,2,4,6,48,0,6,7,6,7,6,1,[3.7819770999485627],[3.7819931999547407],6,0,48,0,345.8918321,,,,,,,,,345.8755329,345.8918321,346.3753437,346.3754599,346.3911804,347.8075887,7,6,347.8085868,347.8233985,349.0371385,349.0371385,349.0697985,349.1364381,352.9192234,7,6,1,[3.7819770999485627],[3.7819931999547407],346.3911804,,,,,,,,213525,1,2025-11-19_07h59.02.596,untitled,,2025.1.1,60.32924081,2025-11-19 07h59.06.288187 +0530
