staircase.thisTrialN,staircase.stepSize,staircase.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
53,0.5,3.5,52.8326705999998,,52.81622179999977,52.8326705999998,53.315462199999274,53.315462199999274,53.33214079999925,53.61471319999964,53.64888059999976,left,-3.5,1,1,0.3271228000003248,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
54,0.5,3.5,53.66510440000002,,53.64919249999912,53.66510440000002,54.164673199999925,54.164673199999925,54.164673199999925,54.46394809999947,54.648312299999816,left,-3.5,1,1,0.48211390000051324,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
55,0.5,3.5,54.66420729999936,,54.648621999999705,54.66420729999936,55.16368899999998,55.16368899999998,55.16368899999998,55.46334259999912,55.63007789999938,left,-3.5,0,0,0.46461640000052284,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
56,0.5,4.0,55.64601579999999,,55.63039739999931,55.64601579999999,56.129506299999775,56.129506299999775,56.14564099999916,,56.346409399999175,left,-4.0,1,1,0.21641899999940506,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
57,0.5,4.0,56.36215149999953,,56.3467028999994,56.36215149999953,56.86173609999969,56.86173609999969,56.86173609999969,57.16137289999915,57.14599959999941,left,-4.0,1,1,0.28262029999950755,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
58,0.5,4.0,57.16137289999915,,57.14636079999946,57.16137289999915,57.66093000000001,57.66093000000001,57.66093000000001,57.960327899999356,57.961109799999576,left,-4.0,1,1,0.29172700000071927,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
59,0.5,3.5,57.97737889999917,,57.96142299999974,57.97737889999917,58.46007459999964,58.46007459999964,58.47659119999935,58.76001009999982,58.7937151999995,right,3.5,1,1,0.3302152999995087,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
60,0.5,3.5,58.80939369999942,,58.7940079,58.80939369999942,59.309422899999845,59.309422899999845,59.309422899999845,59.60935129999962,59.99257299999954,left,-3.5,1,1,0.6785264999998617,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
61,0.5,3.5,60.008620299999166,,59.99288439999964,60.008620299999166,60.50832399999945,60.50832399999945,60.50832399999945,60.80742679999912,60.87494539999989,right,3.5,1,1,0.36269129999982397,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
62,0.5,3.0,60.891268899999886,,60.87525809999988,60.891268899999886,61.37395909999941,61.37395909999941,61.39106559999982,61.67385699999977,61.7908910999995,left,-3.0,1,1,0.4001409999991665,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
63,0.5,3.0,61.80655869999919,,61.791197399999874,61.80655869999919,62.306543199999396,62.306543199999396,62.306543199999396,62.60625419999997,62.60702009999932,left,-3.0,0,0,0.28857390000030136,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
64,0.5,3.5,62.62252569999964,,62.60739359999934,62.62252569999964,63.1224859999993,63.1224859999993,63.1224859999993,,63.389321099999506,left,-3.5,1,1,0.25870930000019143,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
65,0.5,3.5,63.405185299999175,,63.38961759999984,63.405185299999175,63.90453489999982,63.90453489999982,63.90453489999982,,63.98888249999982,right,3.5,1,1,0.0739490999994814,t fin,001,2025-09-01_22h59.09.938,adapt staircase,,2025.1.1,60.016228388038726,2025-09-01 22h59.19.081848 +0530,
